2011	352232	COOK, GAIL	L	state:upper	NJ-7
2011	90784	COOPER, ALISA	L	state:lower	NJ-2
2007	90535	CORBY, RUSSELL K	L	state:upper	NJ-9
2011	352211	CORFIELD, MARIE	L	state:lower	NJ-16
2005	626	CORODEMUS, STEVE	W	state:lower	NJ-11
2001	626	CORODEMUS, STEVEN J	W	state:lower	NJ-11
2005	6395	CORZINE, JON S	W	state:governor	
2009	6395	CORZINE, JON S & WEINBERG, LORETTA	L	state:governor	
2007	90787	COSTELLO, JOHN	L	state:upper	NJ-17
1999	12949	COTTRELL, MELVIN	W	state:lower	NJ-30
2009	132291	COUGHLIN, CRAIG J	W	state:lower	NJ-19
2005	2243	COULTER & DEN UYL BRACKET			
2003	12955	COULTER, DOLORES J	L	state:lower	NJ-9
2009	90778	COURTNEY, WILLIAM J	L	state:lower	NJ-23
2009	9000	COUTINHO, ALBERTO	W	state:lower	NJ-29
2007	8995	COYLE, DENISE	W	state:lower	NJ-16
2009	8995	COYLE, DENISE M	W	state:lower	NJ-16
2007	90057	CRAGLE, RAY F	L	state:lower	NJ-14
1999	13007	CRECCO, MARION	W	state:lower	NJ-34
1997	769	CRUZ PEREZ, NILSA	W	state:lower	NJ-5
2007	769	CRUZ-PEREZ, NILSA	W	state:lower	NJ-5
2003	769	CRUZ-PEREZ, NILSA I	W	state:lower	NJ-5
2005	2244	CRYAN & COHEN BRACKET			
2009	3890	CRYAN & QUIJANO BRACKET			
2011	7637	CRYAN, JOSEPH	W	state:lower	NJ-20
2003	90747	CUNNINGHAM, GLENN D	W	state:upper	NJ-31
2011	8987	CUNNINGHAM, SANDRA BOLDEN	W	state:upper	NJ-31
2007	90750	CZARNECKI, RENEE	L	state:lower	NJ-38
1997	90709	DADAMO, AMADEO	L	state:lower	NJ-16
2009	132288	DAGGETT, CHRIS & ESPOSITO, FRANK J	L	state:governor	
1997	90741	DALTON, SEAN F	L	state:upper	NJ-4
2003	90709	DAMATO JR, AMADEO	W	state:lower	NJ-16
2001	90740	DAMATO, PAUL R	W	state:lower	NJ-2
2005	6386	DANCER, RONALD S	W	state:lower	NJ-30
2011	352301	DANGELO, LOUIS	L	state:lower	NJ-40
2003	90058	DANIELCZYK, PAUL (DANIELS)	L	state:upper	NJ-19
1999	90327	DANIELS, GARY	L	state:lower	NJ-7
1999	90759	DAVIDOFF, E MARTIN	L	state:lower	NJ-18
2003	90758	DAVIS, CHARLES (CHUCK)	L	state:lower	NJ-11
2001	90762	DE RONCERAY, JUDE	L	state:lower	NJ-34
2007	8994	DEANGELO, WAYNE P	W	state:lower	NJ-14
2001	625	DECROCE, ALEX	W	state:lower	NJ-26
2012	1417179	DECROCE, BETTY LOU	W	state:lower	NJ-26
2001	90691	DEFALCO, PHILIP	L	state:lower	NJ-33
2003	90927	DEL VECCHIO JR, KENNETH N	L	state:lower	NJ-35
2011	90927	DEL VECCHIO, KENNETH	L	state:upper	NJ-38
2011	352168	DELANY, PATRICK	W	state:lower	NJ-8
2001	90198	DELGADO, BILLY E	L	state:lower	NJ-19
1999	13275	DELVECCHIO, FRANK	L	state:lower	NJ-40
1997	90906	DEMARSE, MICHAEL PAUL	L	state:lower	NJ-38
2007	90898	DENNISON JR, RICHARD S	L	state:upper	NJ-7
2003	90714	DERIENZO, JOHN DEAN	L	state:lower	NJ-39
2001	90851	DESAI, KIRAN	L	state:upper	NJ-13
1999	90925	DESEVO, ALEX R	L	state:lower	NJ-13
2001	90893	DESIVIERES, DANIEL	L	state:lower	NJ-34
